epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.909,0.77256,0.76865,1.01998,0.87686,0.63864,0.78902,0.62246,0.94208,0.91946,1.11503,0.00053979,0.00053979,0.00053979
2,690.344,0.83411,0.8153,1.04793,0.85549,0.575,0.70877,0.53458,0.94567,1.00724,1.13351,0.001081,0.001081,0.001081
3,1014.77,0.84181,0.84986,1.05421,0.7473,0.79349,0.79338,0.59719,1.01066,1.02911,1.20645,0.00160753,0.00160753,0.00160753
4,1339.9,0.86471,0.79951,1.06212,0.83559,0.63925,0.8377,0.62545,0.94666,0.97985,1.18525,0.00160099,0.00160099,0.00160099
5,1664.74,0.88325,0.83006,1.07067,0.93243,0.63232,0.78904,0.59201,0.91557,1.00966,1.16637,0.00157898,0.00157898,0.00157898
6,1989.37,0.86123,0.74285,1.03325,0.83033,0.59878,0.79038,0.58709,1.00563,1.062,1.17768,0.00155698,0.00155698,0.00155698
7,2313.39,0.83479,0.74357,1.02134,0.75199,0.54484,0.66852,0.48635,1.04648,0.94665,1.23121,0.00153497,0.00153497,0.00153497
8,2637.54,0.82713,0.73616,1.01295,0.66623,0.87255,0.77129,0.57963,0.98895,0.93348,1.13638,0.00151297,0.00151297,0.00151297
9,2961.69,0.86541,0.76323,1.08857,0.61668,0.77805,0.68229,0.53361,0.96411,0.91655,1.12841,0.00149096,0.00149096,0.00149096
10,3285.82,0.87845,0.8205,1.07526,0.83235,0.75976,0.84392,0.60759,1.01723,0.91211,1.1555,0.00146896,0.00146896,0.00146896
11,3610.15,0.8099,0.73593,1.0151,0.78992,0.83841,0.83897,0.62733,0.93657,0.99472,1.15184,0.00144696,0.00144696,0.00144696
12,3934.42,0.80517,0.69825,1.03232,0.65769,0.85921,0.68433,0.50934,0.93294,0.967,1.11328,0.00142495,0.00142495,0.00142495
13,4258.66,0.83626,0.72103,0.9981,0.75861,0.60549,0.77145,0.57319,0.94234,0.90816,1.12335,0.00140295,0.00140295,0.00140295
14,4582.38,0.84322,0.74077,1.04377,0.7172,0.83841,0.70992,0.5383,0.92317,1.00693,1.11938,0.00138094,0.00138094,0.00138094
15,4906.77,0.81355,0.73371,1.01232,0.79129,0.77948,0.82101,0.65277,0.95519,0.84802,1.12927,0.00135894,0.00135894,0.00135894
16,5230.86,0.8242,0.70655,1.0322,0.83022,0.675,0.71143,0.537,1.00061,0.90836,1.15868,0.00133693,0.00133693,0.00133693
17,5555.51,0.79481,0.71671,1.03481,0.64706,0.73537,0.64013,0.48203,1.02107,1.01038,1.20702,0.00131493,0.00131493,0.00131493
18,5879.96,0.78893,0.69379,1.02992,0.85266,0.70488,0.7959,0.60704,0.99485,0.81139,1.14487,0.00129293,0.00129293,0.00129293
19,6204.61,0.79116,0.68066,0.99949,0.91699,0.66626,0.7835,0.62332,0.93946,0.86927,1.11622,0.00127092,0.00127092,0.00127092
20,6529.82,0.76164,0.65972,1.02063,0.96333,0.65216,0.78082,0.54924,0.94767,0.91435,1.14161,0.00124892,0.00124892,0.00124892
21,6856.95,0.78665,0.68216,1.02148,0.53335,0.50549,0.57276,0.43162,0.96048,0.87038,1.11746,0.00122691,0.00122691,0.00122691
22,7181.39,0.79443,0.6667,0.99554,0.69477,0.67195,0.63522,0.47838,0.99037,0.80577,1.14092,0.00120491,0.00120491,0.00120491
23,7505.66,0.79067,0.62792,0.99875,0.94165,0.3923,0.50083,0.37713,0.95803,0.83183,1.12673,0.0011829,0.0011829,0.0011829
24,7829.42,0.78685,0.61632,0.99883,0.82771,0.49329,0.55578,0.44149,0.94935,0.86982,1.14395,0.0011609,0.0011609,0.0011609
25,8153.57,0.78128,0.6582,0.99279,0.79123,0.67195,0.71772,0.57449,0.94058,0.8678,1.1298,0.00113889,0.00113889,0.00113889
26,8477.37,0.78362,0.6693,1.01596,0.93136,0.68848,0.74343,0.58875,0.93096,0.8471,1.12098,0.00111689,0.00111689,0.00111689
27,8801.49,0.74547,0.66022,0.9707,0.7188,0.57195,0.63548,0.52352,0.92628,0.80591,1.1232,0.00109489,0.00109489,0.00109489
28,9125.7,0.76412,0.63808,1.02239,0.63081,0.77137,0.6749,0.50723,0.96211,0.87384,1.14381,0.00107288,0.00107288,0.00107288
29,9449.82,0.7605,0.66117,1.01114,0.94269,0.37679,0.42403,0.32604,0.96384,0.92623,1.14119,0.00105088,0.00105088,0.00105088
30,9774.06,0.72519,0.59758,0.99428,0.76616,0.70244,0.74587,0.57933,0.97565,0.8183,1.12656,0.00102887,0.00102887,0.00102887
31,10097.8,0.70147,0.60617,0.98038,0.86332,0.7811,0.83824,0.63703,0.91762,0.78698,1.12846,0.00100687,0.00100687,0.00100687
32,10422.4,0.70968,0.57005,0.96721,0.84626,0.39939,0.78639,0.58209,0.92358,0.79953,1.11635,0.000984864,0.000984864,0.000984864
33,10746.7,0.74589,0.55708,0.96719,0.72596,0.68415,0.73297,0.56295,0.92572,0.7975,1.12523,0.000962859,0.000962859,0.000962859
34,11070.7,0.67803,0.53798,0.95288,0.53444,0.57628,0.5875,0.47058,0.87638,0.83476,1.10464,0.000940855,0.000940855,0.000940855
35,11394.8,0.68317,0.54869,0.98144,0.63098,0.89939,0.72456,0.58088,0.89877,0.78545,1.12296,0.00091885,0.00091885,0.00091885
36,11718.9,0.65123,0.5254,0.93676,0.80757,0.46706,0.60197,0.48022,0.88959,0.81144,1.12766,0.000896846,0.000896846,0.000896846
37,12043,0.69625,0.55684,0.98638,0.44944,0.69634,0.52864,0.40127,0.9195,0.85138,1.12361,0.000874842,0.000874842,0.000874842
38,12366.9,0.67099,0.52958,0.95864,0.54779,0.70549,0.60661,0.46801,0.92041,0.7805,1.12516,0.000852837,0.000852837,0.000852837
39,12691.2,0.72039,0.57588,0.97816,0.61058,0.56773,0.63069,0.493,0.9105,0.75747,1.13203,0.000830833,0.000830833,0.000830833
40,13015.5,0.64416,0.49254,0.95097,0.94336,0.38187,0.44499,0.34721,0.90176,0.84328,1.14138,0.000808828,0.000808828,0.000808828
41,13339.9,0.64497,0.51297,0.9524,0.68726,0.6811,0.60379,0.47545,0.92868,0.78665,1.14711,0.000786824,0.000786824,0.000786824
42,13663.6,0.65846,0.5467,0.95359,0.49587,0.62621,0.53499,0.40562,0.89323,0.79522,1.13156,0.00076482,0.00076482,0.00076482
43,13987.7,0.67606,0.53803,0.9633,0.63716,0.68914,0.62315,0.47961,0.91498,0.79951,1.14576,0.000742815,0.000742815,0.000742815
44,14311.8,0.6579,0.48642,0.93835,0.78715,0.55671,0.68868,0.49308,0.91202,0.77337,1.13585,0.000720811,0.000720811,0.000720811
45,14636,0.65249,0.50673,0.95215,0.53369,0.48539,0.5025,0.38785,0.8825,0.79795,1.11247,0.000698806,0.000698806,0.000698806
46,14960.7,0.6786,0.48906,0.92587,0.67671,0.57805,0.60259,0.47219,0.91727,0.72988,1.12677,0.000676802,0.000676802,0.000676802
47,15284.8,0.60923,0.45083,0.93439,0.69024,0.78427,0.7662,0.61933,0.87123,0.77455,1.12321,0.000654798,0.000654798,0.000654798
48,15608.8,0.63692,0.45432,0.93695,0.78696,0.89939,0.84123,0.70465,0.8594,0.70713,1.11002,0.000632793,0.000632793,0.000632793
49,15933.3,0.64559,0.50793,0.96371,0.81423,0.6872,0.78329,0.63179,0.86573,0.73787,1.10423,0.000610789,0.000610789,0.000610789
50,16258.2,0.61355,0.47771,0.93811,0.64382,0.49329,0.53756,0.41942,0.85403,0.78093,1.09158,0.000588784,0.000588784,0.000588784
51,16583,0.5943,0.45033,0.92003,0.93056,0.56585,0.69358,0.54035,0.85495,0.7518,1.10739,0.00056678,0.00056678,0.00056678
52,16907.5,0.6297,0.48954,0.92218,0.68619,0.77805,0.73686,0.59185,0.84769,0.73223,1.08375,0.000544776,0.000544776,0.000544776
53,17231.6,0.6222,0.48381,0.93788,0.73794,0.67332,0.67692,0.52103,0.90911,0.80108,1.10971,0.000522771,0.000522771,0.000522771
54,17555.6,0.62049,0.43966,0.91163,0.70862,0.64097,0.70153,0.56984,0.87932,0.7324,1.10879,0.000500767,0.000500767,0.000500767
55,17880.2,0.64192,0.4719,0.92725,0.66909,0.77618,0.74064,0.61501,0.87361,0.81585,1.09475,0.000478762,0.000478762,0.000478762
56,18204,0.58688,0.44092,0.93149,0.52965,0.66961,0.6062,0.46985,0.86023,0.76629,1.0849,0.000456758,0.000456758,0.000456758
57,18528.5,0.60792,0.42916,0.9247,0.61108,0.71179,0.67875,0.51796,0.86935,0.80342,1.10638,0.000434754,0.000434754,0.000434754
58,18853,0.58559,0.44557,0.92195,0.65299,0.70549,0.59924,0.44716,0.85905,0.77736,1.08773,0.000412749,0.000412749,0.000412749
59,19177.3,0.59145,0.45479,0.92913,0.39765,0.53201,0.54163,0.4232,0.86332,0.78611,1.10433,0.000390745,0.000390745,0.000390745
60,19501.5,0.59616,0.43049,0.90115,0.58772,0.68037,0.54612,0.42176,0.83865,0.72015,1.08047,0.00036874,0.00036874,0.00036874
61,19826.4,0.58811,0.44075,0.9494,0.63811,0.59939,0.61308,0.45071,0.83724,0.74506,1.06978,0.000346736,0.000346736,0.000346736
62,20151,0.56648,0.41846,0.90748,0.75782,0.4872,0.60089,0.45657,0.84693,0.79787,1.07865,0.000324732,0.000324732,0.000324732
