epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.77721,0.64956,2.80269,1.05277,0.00333,1,0.34799,0.2928,0.35386,3.16064,0.84945,2e-05,2e-05,2e-05
2,10.7953,0.58507,2.67718,0.97782,0.00333,1,0.59051,0.54883,0.21468,3.04776,0.7179,5.8812e-05,5.8812e-05,5.8812e-05
3,15.4573,0.35732,2.34658,0.94073,0.00333,1,0.995,0.94707,0.24857,3.03061,0.71769,9.604e-05,9.604e-05,9.604e-05
4,20.2376,0.4259,2.01976,0.94179,0.00333,1,0.995,0.95544,0.28628,2.95176,0.69608,0.000131684,0.000131684,0.000131684
5,24.8713,0.4736,1.57379,0.95383,0.00333,1,0.995,0.93704,0.32341,2.75542,0.72065,0.000165744,0.000165744,0.000165744
6,29.4488,0.41486,1.32905,0.95931,0.59855,1,0.995,0.92029,0.33759,2.60464,0.69591,0.00019822,0.00019822,0.00019822
7,34.6277,0.39056,1.10008,0.89112,1,0.76052,0.995,0.92524,0.28055,2.60541,0.66405,0.000229112,0.000229112,0.000229112
8,39.8675,0.40721,1.14655,0.8815,1,0.80978,0.995,0.96511,0.22054,2.59081,0.66564,0.00025842,0.00025842,0.00025842
9,45.1089,0.43422,0.86954,0.9003,1,0.94123,0.995,0.94874,0.23309,2.51441,0.67255,0.000286144,0.000286144,0.000286144
10,49.8415,0.37286,0.88059,0.84702,1,0.99085,0.995,0.97902,0.25866,2.35878,0.68933,0.000312284,0.000312284,0.000312284
11,54.2411,0.43086,1.18538,0.93576,0.99545,1,0.995,0.995,0.25618,2.18084,0.69013,0.00033684,0.00033684,0.00033684
12,58.5281,0.43221,0.97308,0.92571,0.99164,1,0.995,0.995,0.22764,2.02283,0.6704,0.000359812,0.000359812,0.000359812
13,62.9637,0.39756,0.93339,0.91417,0.9911,1,0.995,0.995,0.20314,2.09901,0.64758,0.0003812,0.0003812,0.0003812
14,67.5527,0.42595,0.84524,0.90122,0.98351,1,0.995,0.995,0.23223,2.27224,0.66397,0.000401004,0.000401004,0.000401004
15,72.1181,0.3645,0.85225,0.87779,0.98265,1,0.995,0.995,0.2313,2.29137,0.67827,0.000419224,0.000419224,0.000419224
16,76.3474,0.41611,1.04331,0.90049,0.98876,1,0.995,0.995,0.26677,2.15305,0.69739,0.00043586,0.00043586,0.00043586
17,80.7556,0.34322,0.82823,0.84236,0.98943,1,0.995,0.97902,0.28692,2.06115,0.70313,0.000450912,0.000450912,0.000450912
18,85.0054,0.35374,0.82451,0.86123,0.98656,1,0.995,0.97619,0.27743,2.04533,0.69815,0.00046438,0.00046438,0.00046438
19,89.2629,0.37219,0.79952,0.86323,0.98187,1,0.995,0.97619,0.24906,2.0806,0.67597,0.000476264,0.000476264,0.000476264
20,93.8754,0.40121,0.84643,0.91188,0.98389,1,0.995,0.995,0.22624,2.09983,0.67035,0.000486564,0.000486564,0.000486564
21,98.3914,0.37074,0.87067,0.88014,0.98679,1,0.995,0.97902,0.27016,2.03229,0.68813,0.00049528,0.00049528,0.00049528
22,102.614,0.32894,0.78163,0.85964,0.98618,1,0.995,0.95204,0.2925,2.01193,0.70307,0.000502412,0.000502412,0.000502412
23,108.495,0.36866,0.83497,0.88071,0.9843,1,0.995,0.97902,0.27641,2.06014,0.69586,0.00050796,0.00050796,0.00050796
24,113.626,0.39366,0.77248,0.85825,0.9842,1,0.995,0.995,0.24752,2.02863,0.68034,0.000511924,0.000511924,0.000511924
25,118.042,0.44804,0.78387,0.91913,0.98366,1,0.995,0.995,0.22997,1.95104,0.67441,0.000514304,0.000514304,0.000514304
26,122.536,0.3232,0.79567,0.88751,0.97869,1,0.995,0.995,0.23031,1.9159,0.68035,0.0005151,0.0005151,0.0005151
27,127.128,0.34553,0.76277,0.85926,0.98832,1,0.995,0.97069,0.23652,1.66923,0.66875,0.000514312,0.000514312,0.000514312
28,131.596,0.3603,0.69262,0.88463,0.98832,1,0.995,0.97069,0.23652,1.66923,0.66875,0.00051194,0.00051194,0.00051194
29,136.473,0.3813,0.73121,0.92231,0.99137,1,0.995,0.94638,0.27723,1.54824,0.67638,0.000507984,0.000507984,0.000507984
