epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9626,0.91513,3.04056,0.91863,1,0.06095,0.24096,0.20459,0.91838,3.97347,0.93089,0.000648649,0.000648649,0.000648649
2,133.202,0.90961,2.01417,0.96371,1,0.12658,0.49733,0.38391,0.9592,3.7661,0.98081,0.00130229,0.00130229,0.00130229
3,194,0.95495,1.89864,0.98215,0.74624,0.47875,0.6165,0.43837,1.21007,2.83216,1.25958,0.00194274,0.00194274,0.00194274
4,250.67,1.11138,1.80573,1.0223,0.44047,0.44186,0.41577,0.32067,1.08851,3.61242,1.09942,0.0019406,0.0019406,0.0019406
5,315.746,0.93285,1.56081,0.98091,0.71296,0.66279,0.70921,0.53255,1.01806,4.36697,1.28251,0.0019208,0.0019208,0.0019208
6,378.489,0.98564,1.42041,1.0306,0.86704,0.84884,0.89694,0.64116,0.99763,1.50627,1.09908,0.001901,0.001901,0.001901
7,418.288,0.93623,1.20825,0.97832,0.91971,0.79922,0.88861,0.65978,0.88107,1.36634,1.0329,0.0018812,0.0018812,0.0018812
8,452.117,0.91338,1.20345,0.98858,0.87165,0.68605,0.80178,0.57943,0.94816,1.98441,1.04249,0.0018614,0.0018614,0.0018614
9,483.535,0.89858,1.1554,0.94476,0.81326,0.81029,0.84142,0.62295,0.9194,1.16388,1.02552,0.0018416,0.0018416,0.0018416
10,515.091,0.91244,1.07358,0.98893,0.88808,0.86047,0.91312,0.66667,0.99821,1.18384,1.06134,0.0018218,0.0018218,0.0018218
11,547.523,0.9365,1.03563,0.98606,0.95979,0.84884,0.93301,0.69293,0.88311,0.93876,1.00531,0.001802,0.001802,0.001802
12,579.081,0.85605,0.86043,0.97814,0.84048,0.88372,0.90618,0.68814,0.89561,0.90719,0.99873,0.0017822,0.0017822,0.0017822
13,610.834,0.87354,0.8356,0.97167,0.89087,0.85435,0.90716,0.6845,0.90656,0.83088,1.01551,0.0017624,0.0017624,0.0017624
14,665.646,0.86891,0.78267,0.9495,0.91833,0.91525,0.93841,0.68909,0.89587,0.80898,0.99256,0.0017426,0.0017426,0.0017426
15,700.216,0.87272,0.76271,0.95889,0.95802,0.86047,0.94402,0.72285,0.83728,0.75624,0.97538,0.0017228,0.0017228,0.0017228
16,733.382,0.82357,0.76057,0.96182,0.98157,0.82558,0.9461,0.7237,0.84116,0.75878,0.99807,0.001703,0.001703,0.001703
17,766.328,0.83987,0.72089,0.91259,0.91984,0.87209,0.94033,0.73224,0.84618,0.69821,0.98216,0.0016832,0.0016832,0.0016832
18,799.452,0.82948,0.70371,0.92725,0.96141,0.84884,0.93357,0.72831,0.84638,0.6606,0.97094,0.0016634,0.0016634,0.0016634
19,832.576,0.80319,0.63904,0.94106,0.93209,0.86047,0.92208,0.70798,0.79837,0.70764,0.97896,0.0016436,0.0016436,0.0016436
20,865.646,0.84807,0.69943,0.97345,0.93577,0.84699,0.91888,0.70854,0.82346,0.70036,0.96501,0.0016238,0.0016238,0.0016238
21,898.619,0.77454,0.65149,0.94633,0.93747,0.87172,0.92246,0.70235,0.85436,0.69662,1.01335,0.001604,0.001604,0.001604
22,931.81,0.81128,0.65883,0.91802,0.9454,0.84884,0.92118,0.731,0.82612,0.66074,0.98323,0.0015842,0.0015842,0.0015842
23,965.769,0.78787,0.63376,0.94553,0.96089,0.82558,0.93945,0.70601,0.82731,0.71372,0.97605,0.0015644,0.0015644,0.0015644
24,998.801,0.82822,0.66002,0.95018,0.94977,0.87955,0.94174,0.70245,0.88596,0.62082,1.00284,0.0015446,0.0015446,0.0015446
25,1031.81,0.72841,0.61077,0.93463,0.87536,0.90698,0.9443,0.74338,0.7669,0.59123,0.95553,0.0015248,0.0015248,0.0015248
26,1064.85,0.755,0.57847,0.91015,0.96909,0.88372,0.94042,0.75127,0.71764,0.56103,0.95031,0.001505,0.001505,0.001505
27,1098.06,0.71894,0.55705,0.8931,0.94873,0.82558,0.93937,0.71653,0.81011,0.59774,0.97326,0.0014852,0.0014852,0.0014852
28,1131.03,0.75074,0.57949,0.9269,0.9504,0.89132,0.94593,0.74627,0.78068,0.58255,0.97119,0.0014654,0.0014654,0.0014654
29,1164.02,0.74685,0.59073,0.94186,0.97701,0.88372,0.94548,0.7311,0.7955,0.57384,0.98038,0.0014456,0.0014456,0.0014456
30,1196.96,0.69199,0.54635,0.91596,0.98699,0.88213,0.92677,0.7326,0.77047,0.55898,0.97036,0.0014258,0.0014258,0.0014258
