epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1265,0.68664,3.44695,0.88085,0.00319,0.88462,0.30878,0.26112,0.53683,3.83032,0.81719,0.0002,0.0002,0.0002
2,86.9269,0.59498,1.87698,0.83475,0.00319,0.88462,0.12178,0.1049,0.62221,3.91359,0.84379,0.000415842,0.000415842,0.000415842
3,127.91,0.58035,1.57109,0.84694,0.00319,0.88462,0.11777,0.0934,0.64739,3.99251,0.83907,0.000627328,0.000627328,0.000627328
4,167.005,0.61905,1.53931,0.86074,0.40256,0.09615,0.07699,0.03016,0.67131,4.00777,0.89577,0.000834458,0.000834458,0.000834458
5,204.632,0.64887,1.47587,0.89614,0.54863,0.30769,0.31005,0.23698,0.69662,3.82316,0.9497,0.00103723,0.00103723,0.00103723
6,248.375,0.63021,1.39747,0.91785,0.45439,0.07692,0.07103,0.03771,0.73449,4.5506,1.11401,0.00123565,0.00123565,0.00123565
7,287.916,0.66064,1.32377,0.87653,0.14273,0.11538,0.0362,0.01699,0.7805,6.83416,1.10951,0.00142971,0.00142971,0.00142971
8,325.935,0.70005,1.31316,0.88472,0.25733,0.47314,0.20809,0.14753,0.84495,3.44635,1.19323,0.00161942,0.00161942,0.00161942
9,365.66,0.62451,1.21369,0.8857,0.51357,0.34615,0.35716,0.27075,0.78775,3.73038,0.93508,0.00180477,0.00180477,0.00180477
10,412.823,0.68694,1.24879,0.88761,0.05161,0.42308,0.04199,0.03184,0.72878,11.5906,0.92288,0.0018218,0.0018218,0.0018218
11,453.852,0.64281,1.11953,0.87801,0.19282,0.63462,0.18756,0.14402,0.67737,6.11555,0.92365,0.001802,0.001802,0.001802
12,493.408,0.64594,0.95707,0.86724,0.15092,0.51923,0.13764,0.11124,0.70577,4.65862,0.89505,0.0017822,0.0017822,0.0017822
13,534.183,0.59203,1.03546,0.88685,0.84363,0.73077,0.78695,0.66058,0.62813,1.91205,0.87054,0.0017624,0.0017624,0.0017624
14,571.773,0.60492,0.91184,0.8914,0.65635,0.73077,0.67033,0.54401,0.68784,2.36786,0.92938,0.0017426,0.0017426,0.0017426
15,609.522,0.62658,0.8624,0.85669,0.93667,0.90385,0.93268,0.75282,0.69224,1.13583,0.92712,0.0017228,0.0017228,0.0017228
16,649.276,0.56879,0.87205,0.87167,0.91837,0.86538,0.93156,0.73299,0.65743,1.11504,0.9242,0.001703,0.001703,0.001703
17,690.597,0.56946,0.79512,0.84786,0.9536,0.82692,0.93161,0.76065,0.62647,1.13662,0.9179,0.0016832,0.0016832,0.0016832
18,727.946,0.56168,0.75039,0.86595,1,0.87227,0.96289,0.75454,0.65918,0.97842,0.89561,0.0016634,0.0016634,0.0016634
19,765.332,0.5532,0.73489,0.86088,0.97802,0.85562,0.93522,0.76975,0.63964,0.92188,0.86583,0.0016436,0.0016436,0.0016436
20,803.655,0.57136,0.70608,0.86528,0.95625,0.88462,0.93726,0.77465,0.60284,0.838,0.8774,0.0016238,0.0016238,0.0016238
21,840.554,0.54063,0.67432,0.85979,0.95744,0.86526,0.94022,0.76525,0.59949,0.82093,0.87348,0.001604,0.001604,0.001604
22,877.824,0.53568,0.63691,0.85371,0.95744,0.86532,0.91334,0.74996,0.59166,0.88692,0.87775,0.0015842,0.0015842,0.0015842
23,915.095,0.5144,0.6405,0.86035,0.9392,0.84615,0.89525,0.76022,0.54878,0.82295,0.84919,0.0015644,0.0015644,0.0015644
24,952.491,0.52555,0.66631,0.88843,0.8251,0.82692,0.87049,0.72075,0.58162,0.91034,0.8472,0.0015446,0.0015446,0.0015446
25,991.1,0.5328,0.61721,0.85376,0.85241,0.94231,0.95607,0.78001,0.53823,0.76238,0.83273,0.0015248,0.0015248,0.0015248
26,1029.52,0.5242,0.6433,0.84578,1,0.90268,0.95443,0.80948,0.5428,0.67319,0.83146,0.001505,0.001505,0.001505
27,1066.75,0.49058,0.57178,0.83564,0.99839,0.88462,0.95249,0.81434,0.49093,0.72133,0.81902,0.0014852,0.0014852,0.0014852
28,1103.88,0.5455,0.62568,0.87559,0.93528,0.92308,0.95511,0.81767,0.50867,0.67886,0.81129,0.0014654,0.0014654,0.0014654
29,1142.36,0.51163,0.60265,0.85802,0.97234,0.84615,0.9308,0.78487,0.53075,0.75613,0.81946,0.0014456,0.0014456,0.0014456
30,1182.3,0.49697,0.56558,0.85034,0.92977,0.90385,0.94081,0.80525,0.47666,0.64277,0.81735,0.0014258,0.0014258,0.0014258
31,1220.84,0.49775,0.53775,0.85733,0.90686,0.93628,0.93388,0.79756,0.50873,0.64098,0.83204,0.001406,0.001406,0.001406
32,1258.31,0.49949,0.54533,0.85927,0.93719,0.94231,0.96523,0.80408,0.52991,0.59938,0.84255,0.0013862,0.0013862,0.0013862
33,1297.44,0.50072,0.53199,0.85175,0.91655,0.94231,0.96364,0.82625,0.51877,0.60771,0.847,0.0013664,0.0013664,0.0013664
34,1333.5,0.48334,0.50368,0.8496,0.96698,0.86538,0.95219,0.80451,0.50395,0.58714,0.84981,0.0013466,0.0013466,0.0013466
35,1369.34,0.45755,0.53078,0.83732,0.9776,0.83928,0.94681,0.78999,0.51385,0.61423,0.8444,0.0013268,0.0013268,0.0013268
36,1405.39,0.45408,0.53351,0.81814,0.85225,0.88743,0.93543,0.76989,0.53975,0.64765,0.83815,0.001307,0.001307,0.001307
37,1441.32,0.48193,0.50746,0.83054,0.94226,0.82692,0.93795,0.80105,0.49845,0.68516,0.84148,0.0012872,0.0012872,0.0012872
38,1480.34,0.47492,0.49399,0.84811,0.95536,0.82329,0.93922,0.77248,0.55667,0.7011,0.84774,0.0012674,0.0012674,0.0012674
39,1519.42,0.45476,0.51026,0.82279,0.9389,0.88664,0.96569,0.80319,0.50999,0.63095,0.8166,0.0012476,0.0012476,0.0012476
40,1557.71,0.43475,0.46856,0.808,0.92264,0.91754,0.95725,0.81048,0.50028,0.60052,0.82405,0.0012278,0.0012278,0.0012278
41,1596.16,0.44507,0.47407,0.82718,0.90523,0.91849,0.95052,0.78737,0.52026,0.56967,0.8306,0.001208,0.001208,0.001208
42,1635.4,0.46066,0.51085,0.85583,0.87049,0.90481,0.94731,0.8087,0.47276,0.53474,0.8198,0.0011882,0.0011882,0.0011882
43,1673.58,0.4517,0.45356,0.83388,0.95082,0.84615,0.93533,0.81079,0.51752,0.59037,0.83575,0.0011684,0.0011684,0.0011684
44,1713.87,0.44429,0.43203,0.83658,0.98922,0.88462,0.96243,0.83634,0.46472,0.5409,0.81719,0.0011486,0.0011486,0.0011486
45,1752.28,0.45361,0.42676,0.84509,0.98655,0.86538,0.95913,0.83095,0.4724,0.5465,0.81135,0.0011288,0.0011288,0.0011288
46,1790.01,0.47192,0.45184,0.84838,0.9523,0.86538,0.93071,0.81908,0.50873,0.54661,0.82857,0.001109,0.001109,0.001109
47,1827.96,0.41514,0.40823,0.84523,0.93399,0.86538,0.9318,0.82901,0.48512,0.53322,0.81684,0.0010892,0.0010892,0.0010892
48,1865.32,0.41318,0.42461,0.82989,0.97209,0.86538,0.95012,0.8322,0.48897,0.5663,0.82665,0.0010694,0.0010694,0.0010694
49,1903.55,0.42532,0.42047,0.83517,0.91835,0.88462,0.93032,0.8302,0.4465,0.55431,0.81792,0.0010496,0.0010496,0.0010496
50,1941.7,0.40216,0.39476,0.81561,0.92533,0.86538,0.94795,0.84336,0.45868,0.53973,0.81158,0.0010298,0.0010298,0.0010298
51,1979.92,0.38837,0.41367,0.81126,0.96169,0.88462,0.95356,0.84179,0.46543,0.49157,0.82477,0.00101,0.00101,0.00101
52,2017.88,0.44543,0.42775,0.83005,0.92367,0.93099,0.95355,0.84132,0.49595,0.55638,0.82293,0.0009902,0.0009902,0.0009902
53,2055.69,0.42137,0.41922,0.83284,0.93506,0.96154,0.9801,0.84516,0.44984,0.48172,0.80864,0.0009704,0.0009704,0.0009704
